"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Belgium","Number","Intentional homicide","229",""
"2004-01-01T00:00:00","Belgium","Number","Intentional homicide","267",""
"2005-01-01T00:00:00","Belgium","Number","Intentional homicide","221",""
"2006-01-01T00:00:00","Belgium","Number","Intentional homicide","223",""
"2007-01-01T00:00:00","Belgium","Number","Intentional homicide","211",""
"2008-01-01T00:00:00","Belgium","Number","Intentional homicide","203",""
"2009-01-01T00:00:00","Belgium","Number","Intentional homicide","189",""
"2010-01-01T00:00:00","Belgium","Number","Intentional homicide","187",""
"2011-01-01T00:00:00","Belgium","Number","Intentional homicide","206",""
"2012-01-01T00:00:00","Belgium","Number","Intentional homicide","182",""
"2003-01-01T00:00:00","Bulgaria","Number","Intentional homicide","247",""
"2004-01-01T00:00:00","Bulgaria","Number","Intentional homicide","240",""
"2005-01-01T00:00:00","Bulgaria","Number","Intentional homicide","196",""
"2006-01-01T00:00:00","Bulgaria","Number","Intentional homicide","183",""
"2007-01-01T00:00:00","Bulgaria","Number","Intentional homicide","169",""
"2008-01-01T00:00:00","Bulgaria","Number","Intentional homicide","172",""
"2009-01-01T00:00:00","Bulgaria","Number","Intentional homicide","150",""
"2010-01-01T00:00:00","Bulgaria","Number","Intentional homicide","147",""
"2011-01-01T00:00:00","Bulgaria","Number","Intentional homicide","128",""
"2012-01-01T00:00:00","Bulgaria","Number","Intentional homicide","141",""
"2003-01-01T00:00:00","Czech Republic","Number","Intentional homicide","161",""
"2004-01-01T00:00:00","Czech Republic","Number","Intentional homicide","134",""
"2005-01-01T00:00:00","Czech Republic","Number","Intentional homicide","108",""
"2006-01-01T00:00:00","Czech Republic","Number","Intentional homicide","130",""
"2007-01-01T00:00:00","Czech Republic","Number","Intentional homicide","126",""
"2008-01-01T00:00:00","Czech Republic","Number","Intentional homicide","114",""
"2009-01-01T00:00:00","Czech Republic","Number","Intentional homicide","112",""
"2010-01-01T00:00:00","Czech Republic","Number","Intentional homicide","103",""
"2011-01-01T00:00:00","Czech Republic","Number","Intentional homicide","83",""
"2012-01-01T00:00:00","Czech Republic","Number","Intentional homicide","95",""
"2003-01-01T00:00:00","Denmark","Number","Intentional homicide","82",""
"2004-01-01T00:00:00","Denmark","Number","Intentional homicide","60",""
"2005-01-01T00:00:00","Denmark","Number","Intentional homicide","70",""
"2006-01-01T00:00:00","Denmark","Number","Intentional homicide","45",""
"2007-01-01T00:00:00","Denmark","Number","Intentional homicide","76",""
"2008-01-01T00:00:00","Denmark","Number","Intentional homicide","79",""
"2009-01-01T00:00:00","Denmark","Number","Intentional homicide","79",""
"2010-01-01T00:00:00","Denmark","Number","Intentional homicide","62",""
"2011-01-01T00:00:00","Denmark","Number","Intentional homicide","62",""
"2012-01-01T00:00:00","Denmark","Number","Intentional homicide","55",""
"2003-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","859",""
"2004-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","868",""
"2005-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","869",""
"2006-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","808",""
"2007-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","757",""
"2008-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","722",""
"2009-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","706",""
"2010-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","690",""
"2011-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","662",""
"2012-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Intentional homicide","578",""
"2003-01-01T00:00:00","Estonia","Number","Intentional homicide","147",""
"2004-01-01T00:00:00","Estonia","Number","Intentional homicide","91",""
"2005-01-01T00:00:00","Estonia","Number","Intentional homicide","113",""
"2006-01-01T00:00:00","Estonia","Number","Intentional homicide","91",""
"2007-01-01T00:00:00","Estonia","Number","Intentional homicide","93",""
"2008-01-01T00:00:00","Estonia","Number","Intentional homicide","84",""
"2009-01-01T00:00:00","Estonia","Number","Intentional homicide","70",""
"2010-01-01T00:00:00","Estonia","Number","Intentional homicide","70",""
"2011-01-01T00:00:00","Estonia","Number","Intentional homicide","83",""
"2012-01-01T00:00:00","Estonia","Number","Intentional homicide","73",""
"2003-01-01T00:00:00","Ireland","Number","Intentional homicide","52",""
"2004-01-01T00:00:00","Ireland","Number","Intentional homicide","45",""
"2005-01-01T00:00:00","Ireland","Number","Intentional homicide","65",""
"2006-01-01T00:00:00","Ireland","Number","Intentional homicide","70",""
"2007-01-01T00:00:00","Ireland","Number","Intentional homicide","85",""
"2008-01-01T00:00:00","Ireland","Number","Intentional homicide","55",""
"2009-01-01T00:00:00","Ireland","Number","Intentional homicide","60",""
"2010-01-01T00:00:00","Ireland","Number","Intentional homicide","58",""
"2011-01-01T00:00:00","Ireland","Number","Intentional homicide","45",""
"2012-01-01T00:00:00","Ireland","Number","Intentional homicide","60",""
"2003-01-01T00:00:00","Greece","Number","Intentional homicide","116",""
"2004-01-01T00:00:00","Greece","Number","Intentional homicide","111",""
"2005-01-01T00:00:00","Greece","Number","Intentional homicide","132",""
"2006-01-01T00:00:00","Greece","Number","Intentional homicide","110",""
"2007-01-01T00:00:00","Greece","Number","Intentional homicide","128",""
"2008-01-01T00:00:00","Greece","Number","Intentional homicide","139",""
"2009-01-01T00:00:00","Greece","Number","Intentional homicide","144",""
"2010-01-01T00:00:00","Greece","Number","Intentional homicide","176",""
"2011-01-01T00:00:00","Greece","Number","Intentional homicide","184",""
"2012-01-01T00:00:00","Greece","Number","Intentional homicide","165",""
"2003-01-01T00:00:00","Spain","Number","Intentional homicide","587",""
"2004-01-01T00:00:00","Spain","Number","Intentional homicide","520",""
"2005-01-01T00:00:00","Spain","Number","Intentional homicide","518",""
"2006-01-01T00:00:00","Spain","Number","Intentional homicide","476",""
"2007-01-01T00:00:00","Spain","Number","Intentional homicide","482",""
"2008-01-01T00:00:00","Spain","Number","Intentional homicide","414",""
"2009-01-01T00:00:00","Spain","Number","Intentional homicide","412",""
"2010-01-01T00:00:00","Spain","Number","Intentional homicide","401",""
"2011-01-01T00:00:00","Spain","Number","Intentional homicide","385",""
"2012-01-01T00:00:00","Spain","Number","Intentional homicide","364",""
"2003-01-01T00:00:00","France","Number","Intentional homicide","987",""
"2004-01-01T00:00:00","France","Number","Intentional homicide","990",""
"2005-01-01T00:00:00","France","Number","Intentional homicide","976",""
"2006-01-01T00:00:00","France","Number","Intentional homicide","879",""
"2007-01-01T00:00:00","France","Number","Intentional homicide","826",""
"2008-01-01T00:00:00","France","Number","Intentional homicide","839",""
"2009-01-01T00:00:00","France","Number","Intentional homicide","682",""
"2010-01-01T00:00:00","France","Number","Intentional homicide","675",""
"2011-01-01T00:00:00","France","Number","Intentional homicide","743",""
"2012-01-01T00:00:00","France","Number","Intentional homicide","430",""
"2003-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","987",""
"2004-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","990",""
"2005-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","976",""
"2006-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","879",""
"2007-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","826",""
"2008-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","839",""
"2009-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide","699",""
"2010-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide",":",""
"2011-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide",":",""
"2012-01-01T00:00:00","France (metropolitan)","Number","Intentional homicide",":",""
"2003-01-01T00:00:00","Croatia","Number","Intentional homicide","76",""
"2004-01-01T00:00:00","Croatia","Number","Intentional homicide","89",""
"2005-01-01T00:00:00","Croatia","Number","Intentional homicide","76",""
"2006-01-01T00:00:00","Croatia","Number","Intentional homicide","75",""
"2007-01-01T00:00:00","Croatia","Number","Intentional homicide","66",""
"2008-01-01T00:00:00","Croatia","Number","Intentional homicide","74",""
"2009-01-01T00:00:00","Croatia","Number","Intentional homicide","56",""
"2010-01-01T00:00:00","Croatia","Number","Intentional homicide","73",""
"2011-01-01T00:00:00","Croatia","Number","Intentional homicide","51",""
"2012-01-01T00:00:00","Croatia","Number","Intentional homicide","55",""
"2003-01-01T00:00:00","Italy","Number","Intentional homicide","765",""
"2004-01-01T00:00:00","Italy","Number","Intentional homicide","767",""
"2005-01-01T00:00:00","Italy","Number","Intentional homicide","648",""
"2006-01-01T00:00:00","Italy","Number","Intentional homicide","663",""
"2007-01-01T00:00:00","Italy","Number","Intentional homicide","685",""
"2008-01-01T00:00:00","Italy","Number","Intentional homicide","654",""
"2009-01-01T00:00:00","Italy","Number","Intentional homicide","626",""
"2010-01-01T00:00:00","Italy","Number","Intentional homicide","567",""
"2011-01-01T00:00:00","Italy","Number","Intentional homicide","583",""
"2012-01-01T00:00:00","Italy","Number","Intentional homicide","563",""
"2003-01-01T00:00:00","Cyprus","Number","Intentional homicide","15",""
"2004-01-01T00:00:00","Cyprus","Number","Intentional homicide","15",""
"2005-01-01T00:00:00","Cyprus","Number","Intentional homicide","15",""
"2006-01-01T00:00:00","Cyprus","Number","Intentional homicide","12",""
"2007-01-01T00:00:00","Cyprus","Number","Intentional homicide","11",""
"2008-01-01T00:00:00","Cyprus","Number","Intentional homicide","9",""
"2009-01-01T00:00:00","Cyprus","Number","Intentional homicide","16",""
"2010-01-01T00:00:00","Cyprus","Number","Intentional homicide","7",""
"2011-01-01T00:00:00","Cyprus","Number","Intentional homicide","8",""
"2012-01-01T00:00:00","Cyprus","Number","Intentional homicide","19",""
"2003-01-01T00:00:00","Latvia","Number","Intentional homicide","220",""
"2004-01-01T00:00:00","Latvia","Number","Intentional homicide","199",""
"2005-01-01T00:00:00","Latvia","Number","Intentional homicide","127",""
"2006-01-01T00:00:00","Latvia","Number","Intentional homicide","148",""
"2007-01-01T00:00:00","Latvia","Number","Intentional homicide","117",""
"2008-01-01T00:00:00","Latvia","Number","Intentional homicide","119",""
"2009-01-01T00:00:00","Latvia","Number","Intentional homicide","109",""
"2010-01-01T00:00:00","Latvia","Number","Intentional homicide","82",""
"2011-01-01T00:00:00","Latvia","Number","Intentional homicide","91",""
"2012-01-01T00:00:00","Latvia","Number","Intentional homicide","114",""
"2003-01-01T00:00:00","Lithuania","Number","Intentional homicide","385",""
"2004-01-01T00:00:00","Lithuania","Number","Intentional homicide","356",""
"2005-01-01T00:00:00","Lithuania","Number","Intentional homicide","404",""
"2006-01-01T00:00:00","Lithuania","Number","Intentional homicide","302",""
"2007-01-01T00:00:00","Lithuania","Number","Intentional homicide","284",""
"2008-01-01T00:00:00","Lithuania","Number","Intentional homicide","304",""
"2009-01-01T00:00:00","Lithuania","Number","Intentional homicide","252",""
"2010-01-01T00:00:00","Lithuania","Number","Intentional homicide","217",""
"2011-01-01T00:00:00","Lithuania","Number","Intentional homicide","204",""
"2012-01-01T00:00:00","Lithuania","Number","Intentional homicide","197",""
"2003-01-01T00:00:00","Luxembourg","Number","Intentional homicide","3",""
"2004-01-01T00:00:00","Luxembourg","Number","Intentional homicide","2",""
"2005-01-01T00:00:00","Luxembourg","Number","Intentional homicide","4",""
"2006-01-01T00:00:00","Luxembourg","Number","Intentional homicide","9",""
"2007-01-01T00:00:00","Luxembourg","Number","Intentional homicide","7",""
"2008-01-01T00:00:00","Luxembourg","Number","Intentional homicide","7",""
"2009-01-01T00:00:00","Luxembourg","Number","Intentional homicide","5",""
"2010-01-01T00:00:00","Luxembourg","Number","Intentional homicide","8",""
"2011-01-01T00:00:00","Luxembourg","Number","Intentional homicide","4",""
"2012-01-01T00:00:00","Luxembourg","Number","Intentional homicide","3",""
"2003-01-01T00:00:00","Hungary","Number","Intentional homicide","228",""
"2004-01-01T00:00:00","Hungary","Number","Intentional homicide","209",""
"2005-01-01T00:00:00","Hungary","Number","Intentional homicide","164",""
"2006-01-01T00:00:00","Hungary","Number","Intentional homicide","175",""
"2007-01-01T00:00:00","Hungary","Number","Intentional homicide","137",""
"2008-01-01T00:00:00","Hungary","Number","Intentional homicide","147",""
"2009-01-01T00:00:00","Hungary","Number","Intentional homicide","139",""
"2010-01-01T00:00:00","Hungary","Number","Intentional homicide","132",""
"2011-01-01T00:00:00","Hungary","Number","Intentional homicide","142",""
"2012-01-01T00:00:00","Hungary","Number","Intentional homicide","113",""
"2003-01-01T00:00:00","Malta","Number","Intentional homicide","0",""
"2004-01-01T00:00:00","Malta","Number","Intentional homicide","7",""
"2005-01-01T00:00:00","Malta","Number","Intentional homicide","4",""
"2006-01-01T00:00:00","Malta","Number","Intentional homicide","0",""
"2007-01-01T00:00:00","Malta","Number","Intentional homicide","4",""
"2008-01-01T00:00:00","Malta","Number","Intentional homicide","6",""
"2009-01-01T00:00:00","Malta","Number","Intentional homicide","4",""
"2010-01-01T00:00:00","Malta","Number","Intentional homicide","4",""
"2011-01-01T00:00:00","Malta","Number","Intentional homicide","3",""
"2012-01-01T00:00:00","Malta","Number","Intentional homicide","9",""
"2003-01-01T00:00:00","Netherlands","Number","Intentional homicide","202",""
"2004-01-01T00:00:00","Netherlands","Number","Intentional homicide","191",""
"2005-01-01T00:00:00","Netherlands","Number","Intentional homicide","174",""
"2006-01-01T00:00:00","Netherlands","Number","Intentional homicide","128",""
"2007-01-01T00:00:00","Netherlands","Number","Intentional homicide","143",""
"2008-01-01T00:00:00","Netherlands","Number","Intentional homicide","150",""
"2009-01-01T00:00:00","Netherlands","Number","Intentional homicide","154",""
"2010-01-01T00:00:00","Netherlands","Number","Intentional homicide","144",""
"2011-01-01T00:00:00","Netherlands","Number","Intentional homicide","143",""
"2012-01-01T00:00:00","Netherlands","Number","Intentional homicide","145",""
"2003-01-01T00:00:00","Austria","Number","Intentional homicide","50",""
"2004-01-01T00:00:00","Austria","Number","Intentional homicide","59",""
"2005-01-01T00:00:00","Austria","Number","Intentional homicide","54",""
"2006-01-01T00:00:00","Austria","Number","Intentional homicide","60",""
"2007-01-01T00:00:00","Austria","Number","Intentional homicide","45",""
"2008-01-01T00:00:00","Austria","Number","Intentional homicide","46",""
"2009-01-01T00:00:00","Austria","Number","Intentional homicide","43",""
"2010-01-01T00:00:00","Austria","Number","Intentional homicide","56",""
"2011-01-01T00:00:00","Austria","Number","Intentional homicide","71",""
"2012-01-01T00:00:00","Austria","Number","Intentional homicide","83",""
"2003-01-01T00:00:00","Poland","Number","Intentional homicide","663",""
"2004-01-01T00:00:00","Poland","Number","Intentional homicide","633",""
"2005-01-01T00:00:00","Poland","Number","Intentional homicide","555",""
"2006-01-01T00:00:00","Poland","Number","Intentional homicide","490",""
"2007-01-01T00:00:00","Poland","Number","Intentional homicide","525",""
